ISO3v10,Continent,Country,GeoRegion,GeoSubregion,ElevationZone,Income Group,Lending Category,UrbanRuralDesignation,Population1990,Population2000,Population2010,Population2100,LandArea,PercentofCountryPopulation1990,PercentofCountryPopulation2000,PercentofCountryPopulation2010,PercentofCountryPopulation2100,PercentofCountryLandArea
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 10m ,Lower middle income,IDA,Urban,253003,380588,566795,911507,136,2,3,3,2,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 12m ,Lower middle income,IDA,Rural,49672,64963,89886,549841,3750,0,0,0,1,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 12m ,Lower middle income,IDA,Urban,289515,437369,651356,1037131,156,3,3,3,2,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 1m,Lower middle income,IDA,Rural,8252,10978,15190,35988,260,0,0,0,0,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 1m,Lower middle income,IDA,Urban,7699,10857,16168,27778,6,0,0,0,0,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 20m ,Lower middle income,IDA,Rural,63065,80220,110996,839389,5835,1,1,1,2,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 20m ,Lower middle income,IDA,Urban,405375,614125,914593,1449411,213,4,4,5,3,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 3m,Lower middle income,IDA,Rural,13031,17699,24489,55146,507,0,0,0,0,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 3m,Lower middle income,IDA,Urban,46498,65926,98181,182409,22,0,0,1,0,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 5m,Lower middle income,IDA,Rural,25535,34193,47311,154247,1517,0,0,0,0,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 5m,Lower middle income,IDA,Urban,108807,157412,234428,416556,54,1,1,1,1,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 7m,Lower middle income,IDA,Rural,37435,49759,68849,296636,2327,0,0,0,1,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 7m,Lower middle income,IDA,Urban,178726,264873,394465,659656,92,2,2,2,1,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 9m,Lower middle income,IDA,Rural,44657,58829,81398,420025,2988,0,0,0,1,0
AGO,Africa,Angola,Africa,Middle Africa,Elevations Less Than or Equal To 9m,Lower middle income,IDA,Urban,230825,345986,515263,836582,122,2,2,3,2,0
AGO,Africa,Angola,Africa,Middle Africa,Total National Population,Lower middle income,IDA,Rural,7542291,9408203,13017590,37737232,1248199,72,68,66,75,100
AGO,Africa,Angola,Africa,Middle Africa,Total National Population,Lower middle income,IDA,Urban,2989727,4432291,6600842,12486995,1427,28,32,34,25,0
AIA,North America,Anguilla,Americas,Caribbean,Elevations > 20m or Non-Contiguous,Not Defined,Not Defined,Rural,250,311,414,333,2,3,3,3,3,3
AIA,North America,Anguilla,Americas,Caribbean,Elevations > 20m or Non-Contiguous,Not Defined,Not Defined,Urban,3705,4610,6550,4944,31,41,41,42,41,38
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 10m ,Not Defined,Not Defined,Rural,1279,1592,2122,1708,16,14,14,14,14,19
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 10m ,Not Defined,Not Defined,Urban,976,1214,1726,1302,8,11,11,11,11,10
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 12m ,Not Defined,Not Defined,Rural,1451,1807,2408,1938,18,16,16,15,16,21
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 12m ,Not Defined,Not Defined,Urban,1175,1463,2078,1569,10,13,13,13,13,12
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 1m,Not Defined,Not Defined,Rural,383,477,636,512,4,4,4,4,4,5
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 1m,Not Defined,Not Defined,Urban,122,152,216,163,1,1,1,1,1,1
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 20m ,Not Defined,Not Defined,Rural,1973,2456,3272,2634,23,22,22,21,22,28
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 20m ,Not Defined,Not Defined,Urban,3059,3806,5408,4082,26,34,34,35,34,31
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 3m,Not Defined,Not Defined,Rural,548,682,908,731,7,6,6,6,6,8
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 3m,Not Defined,Not Defined,Urban,289,360,511,386,2,3,3,3,3,3
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 5m,Not Defined,Not Defined,Rural,771,960,1279,1030,9,9,9,8,9,11
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 5m,Not Defined,Not Defined,Urban,495,616,876,661,4,6,6,6,6,5
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 7m,Not Defined,Not Defined,Rural,971,1209,1611,1297,12,11,11,10,11,15
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 7m,Not Defined,Not Defined,Urban,714,888,1262,953,6,8,8,8,8,7
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 9m,Not Defined,Not Defined,Rural,1173,1461,1946,1567,15,13,13,12,13,18
AIA,North America,Anguilla,Americas,Caribbean,Elevations Less Than or Equal To 9m,Not Defined,Not Defined,Urban,886,1103,1567,1183,7,10,10,10,10,9
AIA,North America,Anguilla,Americas,Caribbean,Total National Population,Not Defined,Not Defined,Rural,2222,2767,3687,2968,26,25,25,24,25,31
AIA,North America,Anguilla,Americas,Caribbean,Total National Population,Not Defined,Not Defined,Urban,6763,8416,11958,9026,57,75,75,76,75,69
ALB,Europe,Albania,Europe,Southern Europe,Elevations > 20m or Non-Contiguous,Upper middle income,IBRD,Rural,1907490,1508978,1527562,1725152,24536,58,49,47,50,86
ALB,Europe,Albania,Europe,Southern Europe,Elevations > 20m or Non-Contiguous,Upper middle income,IBRD,Urban,914232,1060554,1168656,1165163,1379,28,35,36,34,5
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 10m ,Upper middle income,IBRD,Rural,204662,197322,199752,214400,1679,6,6,6,6,6
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 10m ,Upper middle income,IBRD,Urban,120567,140099,154380,155113,181,4,5,5,5,1
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 12m ,Upper middle income,IBRD,Rural,224057,216367,219032,234247,1826,7,7,7,7,6
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 12m ,Upper middle income,IBRD,Urban,142331,165345,182199,181086,217,4,5,6,5,1
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 1m,Upper middle income,IBRD,Rural,91772,86541,87607,95284,782,3,3,3,3,3
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 1m,Upper middle income,IBRD,Urban,32627,39120,43107,48244,44,1,1,1,1,0
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 20m ,Upper middle income,IBRD,Rural,263008,252707,255819,272360,2150,8,8,8,8,8
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 20m ,Upper middle income,IBRD,Urban,204750,239535,263951,259672,310,6,8,8,8,1
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 3m,Upper middle income,IBRD,Rural,119782,112610,113997,124168,1015,4,4,4,4,4
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 3m,Upper middle income,IBRD,Urban,42940,51040,56242,63370,61,1,2,2,2,0
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 5m,Upper middle income,IBRD,Rural,155749,148936,150770,163079,1295,5,5,5,5,5
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 5m,Upper middle income,IBRD,Urban,59142,69542,76631,82667,85,2,2,2,2,0
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 7m,Upper middle income,IBRD,Rural,179460,172421,174544,188085,1481,5,6,5,5,5
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 7m,Upper middle income,IBRD,Urban,75923,88846,97902,102647,110,2,3,3,3,0
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 9m,Upper middle income,IBRD,Rural,196026,188837,191163,205479,1612,6,6,6,6,6
ALB,Europe,Albania,Europe,Southern Europe,Elevations Less Than or Equal To 9m,Upper middle income,IBRD,Urban,105787,122964,135498,137541,157,3,4,4,4,1
ALB,Europe,Albania,Europe,Southern Europe,Total National Population,Upper middle income,IBRD,Rural,2170498,1761685,1783381,1997512,26687,66,58,55,58,94
ALB,Europe,Albania,Europe,Southern Europe,Total National Population,Upper middle income,IBRD,Urban,1118982,1300089,1432607,1424835,1689,34,42,45,42,6
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations > 20m or Non-Contiguous,Not Defined,Not Defined,Rural,7707,8061,8675,9516,120,4,5,4,4,15
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations > 20m or Non-Contiguous,Not Defined,Not Defined,Urban,105032,95486,111380,120362,332,55,54,55,55,42
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 10m ,Not Defined,Not Defined,Rural,8659,8649,9308,10330,112,5,5,5,5,14
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 10m ,Not Defined,Not Defined,Urban,34364,31709,36987,39195,90,18,18,18,18,11
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 12m ,Not Defined,Not Defined,Rural,9629,9568,10297,11479,127,5,5,5,5,16
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 12m ,Not Defined,Not Defined,Urban,41223,37928,44242,47083,112,22,22,22,21,14
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 1m,Not Defined,Not Defined,Rural,2284,2292,2467,2535,9,1,1,1,1,1
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 1m,Not Defined,Not Defined,Urban,4060,3823,4460,4524,7,2,2,2,2,1
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 20m ,Not Defined,Not Defined,Rural,11490,11376,12242,13705,160,6,6,6,6,20
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 20m ,Not Defined,Not Defined,Urban,66112,60481,70549,75732,188,35,34,35,35,23
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 3m,Not Defined,Not Defined,Rural,4150,4200,4520,4878,46,2,2,2,2,6
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 3m,Not Defined,Not Defined,Urban,7445,7122,8308,8255,18,4,4,4,4,2
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 5m,Not Defined,Not Defined,Rural,5546,5608,6035,6567,66,3,3,3,3,8
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 5m,Not Defined,Not Defined,Urban,12626,11956,13946,14175,37,7,7,7,6,5
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 7m,Not Defined,Not Defined,Rural,7004,7054,7591,8348,88,4,4,4,4,11
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 7m,Not Defined,Not Defined,Urban,22945,21347,24901,26051,59,12,12,12,12,7
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 9m,Not Defined,Not Defined,Rural,8106,8125,8744,9672,104,4,5,4,4,13
ANT,North America,Netherlands Antilles,Americas,Caribbean,Elevations Less Than or Equal To 9m,Not Defined,Not Defined,Urban,31350,28971,33794,35723,81,16,17,17,16,10
ANT,North America,Netherlands Antilles,Americas,Caribbean,Total National Population,Not Defined,Not Defined,Rural,19197,19437,20918,23221,280,10,11,10,11,35
ANT,North America,Netherlands Antilles,Americas,Caribbean,Total National Population,Not Defined,Not Defined,Urban,171144,155967,181929,196094,519,90,89,90,89,65
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations > 20m or Non-Contiguous,High income: nonOECD,Not Defined,Rural,268794,484932,1132139,966020,63786,14,15,14,13,81
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations > 20m or Non-Contiguous,High income: nonOECD,Not Defined,Urban,1040449,1781466,4364305,4190986,5944,56,55,55,54,8
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 10m ,High income: nonOECD,Not Defined,Rural,35004,62138,145069,157942,4561,2,2,2,2,6
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 10m ,High income: nonOECD,Not Defined,Urban,358518,629645,1542529,1653695,1771,19,19,20,21,2
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 12m ,High income: nonOECD,Not Defined,Rural,35518,63037,147169,160106,5095,2,2,2,2,6
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 12m ,High income: nonOECD,Not Defined,Urban,394878,693393,1698702,1816210,1949,21,21,22,24,2
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 1m,High income: nonOECD,Not Defined,Rural,14764,26023,60754,70678,327,1,1,1,1,0
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 1m,High income: nonOECD,Not Defined,Urban,78748,136195,333656,384074,414,4,4,4,5,1
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 20m ,High income: nonOECD,Not Defined,Rural,37058,65751,153505,166204,6789,2,2,2,2,9
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 20m ,High income: nonOECD,Not Defined,Urban,521922,914744,2240975,2373779,2625,28,28,28,31,3
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 3m,High income: nonOECD,Not Defined,Rural,25015,44361,103568,115078,990,1,1,1,1,1
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 3m,High income: nonOECD,Not Defined,Urban,165477,288854,707646,781947,841,9,9,9,10,1
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 5m,High income: nonOECD,Not Defined,Rural,30807,54715,127741,139864,2611,2,2,2,2,3
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 5m,High income: nonOECD,Not Defined,Urban,241938,424070,1038904,1130187,1198,13,13,13,15,2
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 7m,High income: nonOECD,Not Defined,Rural,33502,59502,138914,151408,3701,2,2,2,2,5
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 7m,High income: nonOECD,Not Defined,Urban,295351,518421,1270047,1370478,1462,16,16,16,18,2
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 9m,High income: nonOECD,Not Defined,Rural,34645,61505,143592,156346,4306,2,2,2,2,5
ARE,Asia,United Arab Emirates,Asia,Western Asia,Elevations Less Than or Equal To 9m,High income: nonOECD,Not Defined,Urban,337207,592024,1450365,1558824,1667,18,18,18,20,2
ARE,Asia,United Arab Emirates,Asia,Western Asia,Total National Population,High income: nonOECD,Not Defined,Rural,305852,550683,1285644,1132224,70575,16,17,16,15,89
ARE,Asia,United Arab Emirates,Asia,Western Asia,Total National Population,High income: nonOECD,Not Defined,Urban,1562372,2696210,6605280,6564765,8568,84,83,84,85,11
ARG,South America,Argentina,Americas,South America,Elevations > 20m or Non-Contiguous,Upper middle income,IBRD,Rural,5599524,6201212,6548418,17983588,2614585,17,17,16,24,95
ARG,South America,Argentina,Americas,South America,Elevations > 20m or Non-Contiguous,Upper middle income,IBRD,Urban,19183312,22203822,24798844,43270800,47842,59,60,61,57,2
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 10m ,Upper middle income,IBRD,Rural,686338,736319,777545,1453843,44575,2,2,2,2,2
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 10m ,Upper middle income,IBRD,Urban,2822469,3009862,3361633,5190206,3433,9,8,8,7,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 12m ,Upper middle income,IBRD,Rural,747885,801530,846407,1644229,50950,2,2,2,2,2
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 12m ,Upper middle income,IBRD,Urban,3621352,3878443,4331727,6575071,4126,11,11,11,9,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 1m,Upper middle income,IBRD,Rural,37115,42737,45130,77652,3876,0,0,0,0,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 1m,Upper middle income,IBRD,Urban,26658,31171,34815,82745,94,0,0,0,0,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 20m ,Upper middle income,IBRD,Rural,995724,1077151,1137461,2583606,75685,3,3,3,3,3
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 20m ,Upper middle income,IBRD,Urban,6802202,7413413,8279839,12444572,7190,21,20,20,16,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 3m,Upper middle income,IBRD,Rural,113642,127266,134391,273136,13491,0,0,0,0,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 3m,Upper middle income,IBRD,Urban,237813,270987,302658,654024,618,1,1,1,1,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 5m,Upper middle income,IBRD,Rural,336016,372158,392996,760967,22907,1,1,1,1,1
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 5m,Upper middle income,IBRD,Urban,652715,753647,841727,1821808,1605,2,2,2,2,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 7m,Upper middle income,IBRD,Rural,514986,559795,591138,1120059,33591,2,2,1,1,1
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 7m,Upper middle income,IBRD,Urban,1535618,1677296,1873326,3189839,2322,5,5,5,4,0
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 9m,Upper middle income,IBRD,Rural,644188,693007,731808,1361224,40903,2,2,2,2,1
ARG,South America,Argentina,Americas,South America,Elevations Less Than or Equal To 9m,Upper middle income,IBRD,Urban,2438068,2607879,2912669,4589114,3095,7,7,7,6,0
ARG,South America,Argentina,Americas,South America,Total National Population,Upper middle income,IBRD,Rural,6595247,7278363,7685879,20567194,2690270,20,20,19,27,98
ARG,South America,Argentina,Americas,South America,Total National Population,Upper middle income,IBRD,Urban,25985514,29617234,33078682,55715372,55032,80,80,81,73,2
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations > 20m or Non-Contiguous,Upper middle income,Not Defined,Rural,6835,7540,8336,6449,76,15,13,12,13,37
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations > 20m or Non-Contiguous,Upper middle income,Not Defined,Urban,33351,41829,51298,35777,101,71,73,74,73,50
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 10m ,Upper middle income,Not Defined,Rural,1342,1516,1675,1296,8,3,3,2,3,4
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 10m ,Upper middle income,Not Defined,Urban,2466,3013,3695,2577,8,5,5,5,5,4
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 12m ,Upper middle income,Not Defined,Rural,1497,1690,1868,1445,9,3,3,3,3,4
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 12m ,Upper middle income,Not Defined,Urban,2999,3680,4513,3147,9,6,6,6,6,5
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 1m,Upper middle income,Not Defined,Rural,257,276,306,236,2,1,0,0,0,1
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 1m,Upper middle income,Not Defined,Urban,359,426,523,365,1,1,1,1,1,1
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 20m ,Upper middle income,Not Defined,Rural,2033,2319,2563,1983,12,4,4,4,4,6
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 20m ,Upper middle income,Not Defined,Urban,4813,5989,7345,5123,15,10,10,11,10,7
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 3m,Upper middle income,Not Defined,Rural,375,419,463,358,3,1,1,1,1,2
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 3m,Upper middle income,Not Defined,Urban,583,713,874,610,2,1,1,1,1,1
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 5m,Upper middle income,Not Defined,Rural,727,819,906,701,4,2,1,1,1,2
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 5m,Upper middle income,Not Defined,Urban,911,1116,1369,955,3,2,2,2,2,1
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 7m,Upper middle income,Not Defined,Rural,995,1119,1237,957,6,2,2,2,2,3
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 7m,Upper middle income,Not Defined,Urban,1495,1833,2248,1568,5,3,3,3,3,2
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 9m,Upper middle income,Not Defined,Rural,1264,1426,1576,1220,7,3,2,2,2,4
ASM,Australia,American Samoa,Oceania,Polynesia,Elevations Less Than or Equal To 9m,Upper middle income,Not Defined,Urban,2155,2633,3230,2252,7,5,5,5,5,3
ASM,Australia,American Samoa,Oceania,Polynesia,Total National Population,Upper middle income,Not Defined,Rural,8868,9859,10900,8433,88,19,17,16,17,43
ASM,Australia,American Samoa,Oceania,Polynesia,Total National Population,Upper middle income,Not Defined,Urban,38165,47818,58643,40900,116,81,83,84,83,57
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations > 20m or Non-Contiguous,Upper middle income,IBRD,Rural,759,917,1095,1070,29,1,1,1,1,7
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations > 20m or Non-Contiguous,Upper middle income,IBRD,Urban,38016,45903,53680,53589,173,60,60,60,60,40
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations Less Than or Equal To 10m ,Upper middle income,IBRD,Rural,3333,4025,4805,4699,107,5,5,5,5,25
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations Less Than or Equal To 10m ,Upper middle income,IBRD,Urban,10431,12595,14729,14704,48,16,16,16,16,11
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations Less Than or Equal To 12m ,Upper middle income,IBRD,Rural,3594,4340,5182,5067,116,6,6,6,6,27
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations Less Than or Equal To 12m ,Upper middle income,IBRD,Urban,12471,15059,17610,17580,57,20,20,20,20,13
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations Less Than or Equal To 1m,Upper middle income,IBRD,Rural,926,1118,1335,1306,6,1,1,1,1,1
ATG,North America,Antigua and Barbuda,Americas,Caribbean,Elevations Less Than or Equal To 1m,Upper middle income,IBRD,Urban,1420,1714,2005,2001,6,2,2,2,2,1
